Date,Category,Product Brand Name And Type,Barcode,Quantity,Unit,Unit Weight (Kg),Total Weight (Kg),Unit Price (GBP),Total Price (GBP),Location/Store
01-07-2024,Fresh vegetables,"Zespri SunGold Kiwi 4 pack, Fruit and Veg",5.06084E+12,1,Item,0.4,0.4,2.4,2.75,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Aubergine Each 250G (C), Fruit and Veg",10069660,1,Item,0.28,0.28,0.95,0.95,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Gala Apple Minimum 5 Pack (C), Fruit and Veg",3249505,2,Item,0.8,1.6,1.95,3.9,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Leeks 320G, Fruit and Veg",3316788,1,Item,0.35,0.35,0.95,0.95,Market Drayton
01-07-2024,Fresh vegetables,"Tesco Cherry Tomatoes 300G (C), Fruit and Veg",10088777,3,Item,0.32,0.97,1.15,3,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Butchers Choice 8 Cumberland Sausage 454G (C, Chilled",5.05162E+12,1,Item,0.47,0.47,2.45,2.45,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Chicken Tikka Masala & Pilau Rice 400G, Chilled",5.0597E+12,1,Item,0.45,0.45,3.25,3.5,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Organic British Whole Milk 2.272L/4 Pints, Chilled",5.05018E+12,1,Item,2.37,2.37,2.3,2.3,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Southern Fried Chicken Goujons 270g, Chilled",5.0597E+12,3,Item,0.29,0.88,3,9,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Wall's Vegan Jumbo Roll 120G, Chilled",5.05595E+12,3,Item,0.13,0.39,1.4,4.35,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Finest Spaghetti Bolognese 400G, Chilled",5.05128E+12,1,Item,0.44,0.44,4.25,4.5,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Fire Pit 6 Bbq Maple Pork Loin Steaks 600G, Chilled",5.05478E+12,2,Item,0.64,1.29,5.2,10.4,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Finest 6 Traditional Pork Sausage 400G, Chilled",5.05395E+12,1,Item,0.42,0.42,3.5,3.5,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Chicken Thigh Fillets Skinless & Boneless 600G, Chilled",5.05775E+12,3,Item,0.64,1.93,5.4,16.2,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Alpro Plain No Sugars Dairy Free Soya Yoghurt Alternative 500g, Chilled",5.41119E+12,5,Item,0.52,2.6,2.4,12,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Deli Meat Feast Sub, Chilled",3281062,1,Item,0.19,0.19,2.85,2.85,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco Egg Mayonnaise Sandwich Filler 235g (C), Chilled",5.05775E+12,2,Item,0.25,0.5,2.15,4.3,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Tesco British Skimmed Milk 1.136L, 2 Pints, Chilled",5.00044E+12,19,Item,1.2,22.78,1.3,24.7,Market Drayton
01-07-2024,Chilled products with dairy and eggs,"Cauldron Foods Falafel 200G, Chilled",5.01368E+12,3,Item,0.22,0.66,2.8,8.25,Market Drayton
01-07-2024,Bread and bread products,"Clay Oven Bakery Hand Stretched Mini Naans Garlic & Coriander 4 PACK 240g, Bakery",5.06015E+12,7,Item,0.26,1.79,2.15,15.05,Market Drayton
01-07-2024,Bread and bread products,"Tesco All Butter Almond Croissant (C), Bakery",3063330,1,Item,0.08,0.08,1.1,1.1,Market Drayton
01-07-2024,Bread and bread products,"Tesco English Muffins 4 Pack, Bakery",5.05755E+12,1,Item,0.3,0.3,0.8,0.9,Market Drayton
01-07-2024,Bread and bread products,"Warburtons Hot Dog Rolls 6 Pack, Bakery",5.01004E+12,2,Item,0.35,0.7,1.65,3.3,Market Drayton
01-07-2024,Bread and bread products,"Tesco Wholemeal Pitta Bread 6 Pack, Bakery",5.05427E+12,5,Item,0.38,1.92,0.55,3.25,Market Drayton
01-07-2024,Bread and bread products,"Warburtons Gluten Free 4 Super Soft Sliced Square Rolls, Bakery",5.01004E+12,1,Item,0.24,0.24,2.85,2.85,Market Drayton
01-07-2024,Bread and bread products,"Tesco All Butter Chocolate Twist, Bakery",3277621,5,Item,0.08,0.39,1.1,6,Market Drayton
01-07-2024,Bread and bread products,"Tesco 6 Hot Cross Buns, Bakery",5.00012E+12,1,Item,0.44,0.44,1.25,1.25,Market Drayton
01-07-2024,Bread and bread products,"Tesco Vanilla Creme Crown, Bakery",5.05018E+12,3,Item,0.1,0.29,1.1,3.3,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Steak & Ale Puff Pastry Pie 500G, Chilled",5.0544E+12,1,Item,0.59,0.59,3.75,4.2,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco British Blue Stilton Cheese 220 G, Chilled",5.05128E+12,1,Item,0.23,0.23,2.9,2.9,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Plant Chef Falafel Houmous Wrap, Chilled",3297537,5,Item,0.2,1,3,14.25,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Cooked & Peeled King Prawns 150G, Chilled",5.05701E+12,3,Item,0.17,0.51,3.75,11.25,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Eastman's Hot & Spicy Sliced Chicken 240G, Chilled",5.0597E+12,2,Item,0.26,0.52,2.3,4.6,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Fire Pit 4 Pork, Mozzarella & Tomato Kebabs 400G, Chilled",5.0597E+12,1,Item,0.44,0.44,4.5,5.2,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Farmhouse Pate With Mushrooms 200G, Chilled",5.05755E+12,1,Item,0.22,0.22,1.45,1.45,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Cheese Triple Sandwich, Chilled",3057124,1,Item,0.25,0.25,3.25,3,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Prawn Mayonnaise Sandwich, Chilled",50436729,3,Item,0.19,0.57,2.75,8.25,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Tuna & Cucumber Sandwich, Chilled",3056233,1,Item,0.19,0.19,2.2,2.2,Market Drayton
02-07-2024,Chilled products with dairy and eggs,"Tesco Fire Pit Salt & Chilli Pork Belly Slices 520g, Chilled",5.0597E+12,2,Item,0.62,1.24,5.2,10.4,Market Drayton
02-07-2024,Bread and bread products,"Bfree Stone Baked Pitta Bread 220G, Bakery",5.39152E+12,2,Item,0.24,0.48,3,6,Market Drayton
02-07-2024,Bread and bread products,"Tesco 4 Brioche Buns, Bakery",5.05775E+12,5,Item,0.26,1.29,0.99,5.75,Market Drayton
02-07-2024,Bread and bread products,"Tesco Finest 4 Extra Fruity Hot Cross Buns, Bakery",5.05775E+12,1,Item,0.32,0.32,1.7,1.7,Market Drayton
02-07-2024,Bread and bread products,"Tesco 5 Sugar Ring Doughnuts, Bakery",5.0597E+12,1,Item,0.36,0.36,1.2,1.2,Market Drayton
02-07-2024,Bread and bread products,"Tesco Scotch Rolls 2 Pack, Bakery",5.05951E+12,1,Item,0.14,0.15,1.1,1.1,Market Drayton
02-07-2024,Bread and bread products,"Tesco 2 Fresh Cream Bramley Apple Turnover 160G, Bakery",5.05737E+12,3,Item,0.2,0.6,1.65,5.55,Market Drayton
02-07-2024,Bread and bread products,"Warburtons Fruit Loaf With Cinnamon & Raisin 400G, Bakery",5.01004E+12,1,Item,0.41,0.41,1.95,2.25,Market Drayton
02-07-2024,Bread and bread products,"Tesco Vanilla Creme Crown, Bakery",5.05018E+12,1,Item,0.1,0.1,1.1,1.1,Market Drayton
02-07-2024,Bread and bread products,"Tesco 5 Jam Doughnuts, Bakery",5.0597E+12,1,Item,0.36,0.36,1.2,1.2,Market Drayton
02-07-2024,Bread and bread products,"Tesco Apple Crumble 500G, Bakery",5.05775E+12,1,Item,0.58,0.58,3.9,4.5,Market Drayton
02-07-2024,Bread and bread products,"Tesco All Butter Croissant, Bakery",3269275,1,Item,0.07,0.07,1.1,1.1,Market Drayton
02-07-2024,Bread and bread products,"Tesco Strawberry Trifle 600G, Bakery",5.0597E+12,2,Item,0.65,1.3,3.35,7.6,Market Drayton
